uid,bucket,slug,new_slug,old_url,new_url,old_title,new_title,old_seo_title,new_seo_title,redirect_from,redirect_to
blt844ebc9ef2c5bf61,GA,entry-migration,cli-entry-migration,/headless-cms/entry-migration,/headless-cms/cli-entry-migration/v1,[Contentstack Command-line Interface (CLI)] - Entry Migration,[Contentstack Command-line Interface (CLI)] - Entry Migration | V1.x.x,Entry Migration | Contentstack,Entry Migration | V1.x.x | Contentstack,/docs/headless-cms/entry-migration,/docs/headless-cms/cli-entry-migration/v1
blt64c4e01079d2e7c2,GA,export-content-to-csv-file,cli-export-content-to-csv-file,/headless-cms/export-content-to-csv-file,/headless-cms/cli-export-content-to-csv-file/v1,[Contentstack Command-line Interface (CLI)] - Export Content to CSV File Using the CLI,[Contentstack Command-line Interface (CLI)] - Export Content to CSV File Using the CLI | V1.x.x,Export Content to CSV File Using the CLI | Contentstack,Export Content to CSV File Using the CLI | V1.x.x | Contentstack,/docs/headless-cms/export-content-to-csv-file,/docs/headless-cms/cli-export-content-to-csv-file
blt878916ff618af5c2,GA,export-content-using-the-cli,export-content-using-the-cli,/headless-cms/export-content-using-the-cli,/headless-cms/export-content-using-the-cli/v1,[Contentstack Command-line Interface (CLI)] - Export Content Using the CLI,[Contentstack Command-line Interface (CLI)] - Export Content Using the CLI | V1.x.x,Export Content Using the CLI | Contentstack,Export Content Using the CLI | V1.x.x | Contentstack,,
blt1ee86e6419f390f8,GA,import-content-using-the-cli,import-content-using-the-cli,/headless-cms/import-content-using-the-cli,/headless-cms/import-content-using-the-cli/v1,[Contentstack Command-line Interface (CLI)] - Import Content Using the CLI,[Contentstack Command-line Interface (CLI)] - Import Content Using the CLI | V1.x.x,Import Content Using the CLI | Contentstack,Import Content Using the CLI | V1.x.x | Contentstack,,
bltd980d5d1a241b442,GA,import-content-using-the-seed-command,cli-import-content-using-the-seed-command,/headless-cms/import-content-using-the-seed-command,/headless-cms/cli-import-content-using-the-seed-command/v1,[Contentstack Command-line Interface (CLI)] - Import Content Using the Seed Command,[Contentstack Command-line Interface (CLI)] - Import Content Using the Seed Command | V1.x.x,Import Content Using the Seed Command | Contentstack,Import Content Using the Seed Command | V1.x.x | Contentstack,/docs/headless-cms/import-content-using-the-seed-command,/docs/headless-cms/cli-import-content-using-the-seed-command
blt0756f65e7c6f9eed,GA,install-the-cli,install-the-cli,/headless-cms/install-the-cli,/headless-cms/install-the-cli/v1,[Contentstack Command-line Interface (CLI)] - Install the CLI,[Contentstack Command-line Interface (CLI)] - Install the CLI | V1.x.x,Install the CLI | Contentstack,Install the CLI | V1.x.x | Contentstack,/docs/headless-cms/install-the-cli,/docs/headless-cms/install-the-cli/v1
blt229455bbe1e19fa9,GA,migrate-and-overwrite-content-in-the-same-stack,cli-migrate-and-overwrite-content-in-the-same-stack,/headless-cms/migrate-and-overwrite-content-in-the-same-stack,/headless-cms/cli-migrate-and-overwrite-content-in-the-same-stack/v1,[Contentstack Command-line Interface (CLI)] - Migrate and Overwrite Content in the Same Stack,[Contentstack Command-line Interface (CLI)] - Migrate and Overwrite Content in the Same Stack | V1.x.x,Overwrite Content in the Same Stack | Contentstack,Overwrite Content in the Same Stack | V1.x.x | Contentstack,/docs/headless-cms/migrate-and-overwrite-content-in-the-same-stack,/docs/headless-cms/cli-migrate-and-overwrite-content-in-the-same-stack/v1
blt8e8d75af4f2678b0,GA,migrate-content-between-stacks-using-the-cli,migrate-content-between-stacks-using-the-cli,/headless-cms/migrate-content-between-stacks-using-the-cli,/headless-cms/migrate-content-between-stacks-using-the-cli/v1,[Contentstack Command-line Interface (CLI)] - Migrate Content Between Stacks Using the CLI,[Contentstack Command-line Interface (CLI)] - Migrate Content Between Stacks Using the CLI | V1.x.x,Migrate Content Between Stacks Using the CLI | Contentstack,Migrate Content Between Stacks Using the CLI | V1.x.x | Contentstack,/docs/headless-cms/migrate-content-between-stacks-using-the-cli,/docs/headless-cms/migrate-content-between-stacks-using-the-cli/v1
bltd423e81420316dfd,GA,migrate-content-from-html-rte-to-json-rte,cli-migrate-content-from-html-rte-to-json-rte,/headless-cms/migrate-content-from-html-rte-to-json-rte,/headless-cms/cli-migrate-content-from-html-rte-to-json-rte/v1,[CLI] - Migrate Content from HTML RTE to JSON RTE using CLI,[CLI] - Migrate Content from HTML RTE to JSON RTE using CLI | V1.x.x, Migrate Content from HTML RTE to JSON RTE using CLI | Contentstack,Migrate Content from HTML RTE to JSON RTE using CLI | V1.x.x | Contentstack,/docs/headless-cms/migrate-content-from-html-rte-to-json-rte,/docs/headless-cms/cli-migrate-content-from-html-rte-to-json-rte/v1
blt3168251b46327602,GA,migrate-selected-content-types-using-the-query-export-plugin,cli-migrate-selected-content-types-using-the-query-export-plugin,/headless-cms/migrate-selected-content-types-using-the-query-export-plugin,/headless-cms/cli-migrate-selected-content-types-using-the-query-export-plugin,[Contentstack Command-line Interface (CLI)] - Migrate Selected Content Using the Query Export Plugin,[Contentstack Command-line Interface (CLI)] - Migrate Selected Content Using the Query Export Plugin,Migrate Selected Content with Query Export | Contentstack,Migrate Selected Content with Query Export | Contentstack,/docs/headless-cms/migrate-selected-content-types-using-the-query-export-plugin,/docs/headless-cms/cli-migrate-selected-content-types-using-the-query-export-plugin
blt563cc44829432a89,GA,migrate-your-content-using-the-cli-migration-command,migrate-your-content-using-the-cli-migration-command,/headless-cms/migrate-your-content-using-the-cli-migration-command,/headless-cms/migrate-your-content-using-the-cli-migration-command/v1,[Contentstack Command-line Interface (CLI)] - Migrate your Content using the CLI Migration Command,[Contentstack Command-line Interface (CLI)] - Migrate your Content using the CLI Migration Command | V1.x.x,Migrate your Content using the CLI Migration Command | Contentstack,Migrate your Content using the CLI Migration Command | V1.x.x | Contentstack,,
blt3a999013669bda40,GA,overwrite-existing-content-using-cli-import,overwrite-existing-content-using-cli-import,/headless-cms/overwrite-existing-content-using-cli-import,/headless-cms/overwrite-existing-content-using-cli-import/v1,[Contentstack Command-line Interface (CLI)] - Overwrite Existing Content using CLI Import,[Contentstack Command-line Interface (CLI)] - Overwrite Existing Content using CLI Import | V1.x.x,Overwrite Existing Content using CLI Import | Contentstack,Overwrite Existing Content using CLI Import | V1.x.x | Contentstack,,
blt7b3284729d3494f0,GA,query-based-export,cli-query-based-export,/headless-cms/query-based-export,/headless-cms/cli-query-based-export,[Contentstack Command-line Interface (CLI)] - Query-based Export,[Contentstack Command-line Interface (CLI)] - Query-based Export,Query-based Export | Contentstack,Query-based Export | Contentstack,/docs/headless-cms/query-based-export,/docs/headless-cms/cli-query-based-export
blt2a6acf45012c79f3,GA,taxonomy-migration,cli-taxonomy-migration,/headless-cms/taxonomy-migration,/headless-cms/cli-taxonomy-migration,[Contentstack Command-line Interface (CLI)] - Taxonomy Migration,[Contentstack Command-line Interface (CLI)] - Taxonomy Migration,Taxonomy Migration | Contentstack,Taxonomy Migration | Contentstack,/docs/headless-cms/taxonomy-migration,/docs/headless-cms/cli-taxonomy-migration
bltcc14ad6c062c9a82,GA,tsgen-plugin,cli-tsgen-plugin,/headless-cms/tsgen-plugin,/headless-cms/cli-tsgen-plugin/v1,[Contentstack Command-line Interface (CLI)] - Generate Typescript Typings with TSGen Plugin,[Contentstack Command-line Interface (CLI)] - Generate Typescript Typings with TSGen Plugin | V1.x.x,Generate Typescript Typings with TSGen Plugin | Contentstack,Generate Typescript Typings with TSGen Plugin | V1.x.x | Contentstack,/docs/headless-cms/tsgen-plugin,/docs/headless-cms/cli-tsgen-plugin/v1
blt553b89ec322a6199,GA,uninstall-cli-plugins,uninstall-cli-plugins,/headless-cms/uninstall-cli-plugins,/headless-cms/uninstall-cli-plugins,[Contentstack Command-line Interface (CLI)] - Uninstall CLI Plugins,[Contentstack Command-line Interface (CLI)] - Uninstall CLI Plugins,Uninstall CLI Plugins | Contentstack Documentation,Uninstall CLI Plugins | Contentstack Documentation,,
blt3afca0a8bf912f83,GA,update-missing-reference-uids,cli-update-missing-reference-uids,/headless-cms/update-missing-reference-uids,/headless-cms/cli-update-missing-reference-uids,"[Contentstack Command-line Interface (CLI)] - Update Missing Reference UIDs for Entries, Assets, and Extensions","[Contentstack Command-line Interface (CLI)] - Update Missing Reference UIDs for Entries, Assets, and Extensions","Update Missing Reference UIDs for Entries, Assets, and Extensions | Contentstack","Update Missing Reference UIDs for Entries, Assets, and Extensions | Contentstack",/docs/headless-cms/update-missing-reference-uids,/docs/headless-cms/cli-update-missing-reference-uids
